@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

IconsFeatures,1,10,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1746,21804,2422,2134,288,0,88.109001,11.890999,0,0.871867,0.017024,0.109817,12.838061,42.648048,9213.76658,2521.821071,6691.945509,3.804198,1.041214,2.762983,8362.763161,3.452834,219833.664953,0.965517,168,0.006228,14,0.993772,2234,0.034483,6,0.923077,0.965517,0.94382,0.939643,0.981864,0.947534,0.88109,0.009361,0.990639,0.11891,0.883567,0.88109,0.880363,0.872281,0.967109,0.88455,0.87964,0.88109,0.006,19.569,0,19.390625,0,19390.625,8489228,8486079,946481,94.013212,8.127875,?
IconsFeatures,1,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1746,21803,2423,2201,222,0,90.837804,9.162196,0,0.90131,0.017064,0.103647,12.867906,40.251841,9217.581682,2144.777669,7072.804013,3.804202,0.885174,2.919028,8417.17682,3.473866,221264.076312,0.982759,171,0.009337,21,0.990663,2228,0.017241,3,0.890625,0.982759,0.934426,0.9304,0.989488,0.940561,0.908378,0.006989,0.993011,0.091622,0.909115,0.908378,0.908225,0.901473,0.974605,0.91192,0.907744,0.908378,0.006,20.636,0,20.453125,0,20453.125,8488847,8485690,946870,95.418902,8.643358,?
IconsFeatures,1,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1747,21803,2423,2175,248,0,89.764754,10.235246,0,0.889752,0.01728,0.105152,13.030956,40.836749,9217.318863,2113.880228,7103.438634,3.804094,0.872423,2.931671,8410.550797,3.471131,221089.19671,0.948571,166,0.007117,16,0.992883,2232,0.051429,9,0.912088,0.948571,0.929972,0.924612,0.990051,0.953792,0.897648,0.007826,0.992174,0.102352,0.898579,0.897648,0.897681,0.89003,0.975025,0.908382,0.897377,0.897648,0.008,20.735,0,20.578125,0,20578.125,8488847,8485690,946870,95.542716,8.605035,?
IconsFeatures,1,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1747,21803,2423,2175,248,0,89.764754,10.235246,0,0.889752,0.018164,0.107005,13.697725,41.556263,9217.346607,2170.76286,7046.583747,3.804105,0.895899,2.908206,8379.853213,3.458462,220282.320501,0.954023,166,0.008448,19,0.991552,2230,0.045977,8,0.897297,0.954023,0.924791,0.919283,0.984301,0.944795,0.897648,0.007824,0.992176,0.102352,0.898651,0.897648,0.897577,0.890008,0.974394,0.904529,0.897244,0.897648,0.006,20.475,0.015625,20.203125,15.625,20203.125,8488847,8485690,946870,95.460173,8.731796,?
IconsFeatures,1,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1747,21803,2423,2197,226,0,90.67272,9.32728,0,0.899543,0.016592,0.101217,12.512345,39.308429,9217.346607,1893.183728,7324.16288,3.804105,0.781339,3.022766,8463.151847,3.49284,222472.00281,0.965517,168,0.007114,16,0.992886,2233,0.034483,6,0.913043,0.965517,0.938547,0.934075,0.987043,0.945598,0.906727,0.007062,0.992938,0.093273,0.908016,0.906727,0.906632,0.899867,0.978144,0.918538,0.906454,0.906727,0.005,20.402,0,20.203125,0,20203.125,8488847,8485690,946870,96.120512,8.646306,?
IconsFeatures,1,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1748,21803,2423,2184,239,0,90.136195,9.863805,0,0.89376,0.017378,0.104371,13.105038,40.533342,9217.336136,2156.626985,7060.709151,3.804101,0.890065,2.914036,8404.525666,3.468645,220930.859059,0.95977,167,0.00578,13,0.99422,2236,0.04023,7,0.927778,0.95977,0.943503,0.939209,0.985397,0.971193,0.901362,0.007499,0.992501,0.098638,0.902074,0.901362,0.901213,0.893902,0.974521,0.911252,0.900862,0.901362,0.006,20.369,0,20.234375,0,20234.375,8488847,8485690,946870,95.418902,8.681682,?
IconsFeatures,1,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1748,21803,2423,2196,227,0,90.631449,9.368551,0,0.899072,0.01673,0.10183,12.616064,39.54644,9217.35589,2007.897218,7209.458672,3.804109,0.828682,2.975427,8443.002004,3.484524,221942.34355,0.965517,168,0.008448,19,0.991552,2230,0.034483,6,0.898396,0.965517,0.930748,0.925883,0.993157,0.965455,0.906314,0.007246,0.992754,0.093686,0.906715,0.906314,0.906241,0.899161,0.976624,0.917772,0.906005,0.906314,0.005,19.912,0,19.703125,0,19703.125,8488847,8485690,946870,95.790343,8.649254,?
IconsFeatures,1,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1748,21804,2422,2176,246,0,89.843105,10.156895,0,0.890591,0.018054,0.107058,13.614427,41.576666,9213.559589,2181.087532,7032.472058,3.804112,0.900532,2.903581,8375.846236,3.458235,220177.031824,0.95977,167,0.007117,16,0.992883,2232,0.04023,7,0.912568,0.95977,0.935574,0.930797,0.983936,0.934684,0.898431,0.00779,0.99221,0.101569,0.900379,0.898431,0.8987,0.891263,0.974215,0.904255,0.898384,0.898431,0.005,20.248,0,20.09375,0,20093.75,8489236,8486079,946481,95.417011,8.700012,?
IconsFeatures,1,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1749,21804,2422,2200,222,0,90.834021,9.165979,0,0.901267,0.01711,0.103352,12.902867,40.137315,9213.69098,2114.149604,7099.541376,3.804166,0.872894,2.931272,8420.457047,3.476654,221350.073969,0.965517,168,0.004893,11,0.995107,2237,0.034483,6,0.938547,0.965517,0.951841,0.948167,0.989932,0.950563,0.90834,0.007009,0.992991,0.09166,0.908606,0.90834,0.908031,0.901224,0.974929,0.91052,0.907604,0.90834,0.005,20.267,0.015625,20.03125,15.625,20031.25,8489236,8486079,946481,95.499587,8.673469,?
IconsFeatures,1,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170414.1749,21804,2422,2178,244,0,89.925681,10.074319,0,0.891487,0.018368,0.108366,13.851559,42.084462,9213.69098,2371.44826,6842.24272,3.804166,0.979128,2.825038,8343.485786,3.444874,219326.716542,0.988506,172,0.008452,19,0.991548,2229,0.011494,2,0.900524,0.988506,0.942466,0.93898,0.995539,0.956657,0.899257,0.007679,0.992321,0.100743,0.900541,0.899257,0.899179,0.891838,0.971507,0.899414,0.898729,0.899257,0.006,21.704,0,21.359375,0,21359.375,8489236,8486079,946481,94.880264,8.723605,?
